Top_B,Jun_B,Mid_B,ADC_B,Sup_B,Top_R,Jun_R,Mid_R,ADC_R,Sup_R,Top_B_Gold,Jun_B_Gold,Mid_B_Gold,ADC_B_Gold,Sup_B_Gold,Top_R_Gold,Jun_R_Gold,Mid_R_Gold,ADC_R_Gold,Sup_R_Gold,Top_B_Damage,Jun_B_Damage,Mid_B_Damage,ADC_B_Damage,Sup_B_Damage,Top_R_Damage,Jun_R_Damage,Mid_R_Damage,ADC_R_Damage,Sup_R_Damage
Wunder,Jankos,Caps,Perkz,Mikyx,Nuguri,Canyon,ShowMaker,Nuclear,BeryL,18928,14153,15226,17679,10151,19398,15461,20016,22359,13197,27575,13871,12775,15760,5130,23891,11953,21633,21052,6246
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wunder,Jankos,Caps,Perkz,Mikyx,Nuguri,Canyon,ShowMaker,Nuclear,BeryL,12639,11628,13790,16331,8909,12277,9539,13494,10385,6625,10394,9070,6877,18547,4824,15434,6374,17601,6645,6597
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wunder,Jankos,Caps,Perkz,Mikyx,Nuguri,Canyon,ShowMaker,Nuclear,BeryL,14756,11959,14113,13967,7682,11539,9294,11065,13424,7421,15629,15337,8666,11607,4718,13824,10986,8339,9381,6198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vizicsacsi,Xerxe,Humanoid,Kobbe,Tore,Khan,Clid,Faker,Teddy,Effort,9761,7490,10079,13652,6774,14414,10315,12576,12736,7846,5308,6276,7801,10658,2850,12911,11286,9478,4942,2690
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khan,Clid,Faker,Teddy,Effort,Vizicsacsi,Xerxe,Humanoid,Kobbe,Tore,12388,10823,10429,15150,7677,9415,8330,10932,10470,6358,15531,12184,7986,14131,4417,9033,5545,9216,11147,2506
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khan,Clid,Faker,Teddy,Mata,Vizicsacsi,Xerxe,Humanoid,Kobbe,Tore,12511,10012,12039,14845,7146,13220,13134,14279,15134,7898,14193,5804,13994,12412,2765,13372,11529,17636,15497,4291
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khan,Clid,Faker,Teddy,Effort,Vizicsacsi,Xerxe,Humanoid,Kobbe,Tore,15087,10608,12035,15249,8065,10473,9141,11404,13320,6976,27197,9512,10125,11867,3664,6417,7874,8845,13463,2004
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GimGoon,Tian,Doinb,Lwx,Crisp,Bwipo,Broxah,Nemesis,Rekkles,Hylissang,8567,9616,11840,12524,8036,10555,7615,10825,8672,8118,10003,9215,14539,14043,5189,10509,4999,9976,5204,14259
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bwipo,Broxah,Nemesis,Rekkles,Hylissang,GimGoon,Tian,Doinb,Lwx,Crisp,9730,6289,9450,8600,4944,9555,8410,10178,13813,7133,13506,4401,8714,6824,3205,11215,8765,8674,15624,3217
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GimGoon,Tian,Doinb,Lwx,Crisp,Bwipo,Broxah,Nemesis,Rekkles,Hylissang,9170,11288,12366,8744,6256,8842,10242,12073,15121,7423,9387,8916,24141,10587,3699,16654,6378,18386,20978,4792
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GimGoon,Tian,Doinb,Lwx,Crisp,Bwipo,Broxah,Nemesis,Rekkles,Hylissang,12260,12682,19588,16022,10906,11509,10103,12482,15223,10690,13789,17134,22845,13380,4408,16463,5878,14246,14089,5132
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheShy,Ning,RooKie,JackeyLove,Baolan,Sword,Tarzan,Chovy,Viper,Lehends,18830,13534,16338,22353,12037,14201,16441,12532,17346,13649,16791,11626,22747,51970,6630,11626,22662,12180,9558,35693
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sword,Tarzan,Chovy,Viper,Lehends,TheShy,Ning,RooKie,JackeyLove,Baolan,11260,10299,11701,17221,8245,15890,12414,14393,18170,7799,12957,6157,11993,21052,5102,15358,7509,18090,19958,3304
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheShy,Ning,RooKie,JackeyLove,Baolan,Sword,Tarzan,Chovy,Viper,Lehends,13086,10472,12343,14639,7144,12785,12997,14718,18881,9725,22900,5952,8621,8414,5270,11204,14805,10166,25104,5792
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sword,Tarzan,Chovy,Viper,Lehends,TheShy,Ning,RooKie,JackeyLove,Baolan,7155,8459,8060,9505,5875,13556,8840,11127,12756,5820,7301,13203,9240,10116,3650,17112,3949,15224,15115,2459
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheShy,Ning,RooKie,JackeyLove,Baolan,Impact,Xmithie,Jensen,Doublelift,CoreJJ,12196,8412,9376,11426,5283,6513,7806,8282,8940,5011,21279,8477,10792,14485,2794,6726,7196,12016,5883,3800
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuguri,Canyon,ShowMaker,Nuclear,BeryL,Ziv,Alex,Apex,Wako,Ysera,14936,11864,13257,13183,6956,8691,7671,10123,10968,6127,12808,21848,7142,14334,6374,9257,4025,11895,10743,2911
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuguri,Canyon,ShowMaker,Nuclear,BeryL,TheShy,Ning,RooKie,JackeyLove,Baolan,12316,11641,14510,15253,8365,14021,10625,11658,11669,8114,16762,7115,11285,10931,2652,21157,8067,13749,9408,4348
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impact,Xmithie,Jensen,Doublelift,CoreJJ,Ziv,Alex,Rainbow,Wako,Ysera,13995,10068,12745,13711,8145,9557,9781,10214,11340,6284,25050,8702,17082,13841,2850,11005,3073,10384,15022,7597
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impact,Xmithie,Jensen,Doublelift,CoreJJ,Nuguri,Canyon,ShowMaker,Nuclear,BeryL,9493,8871,12808,13785,7074,15031,11047,15691,15320,8570,4188,3597,3514,5155,1214,14159,5511,14128,9731,6790
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ziv,Alex,Rainbow,Wako,Ysera,TheShy,Ning,RooKie,JackeyLove,Baolan,12068,9662,10244,13706,6735,15578,11290,13377,14009,8459,14143,7112,13877,10698,2555,27736,7437,19158,6460,6761
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bwipo,Broxah,Nemesis,Rekkles,Hylissang,Langx,Karsa,xiaohu,Uzi,Ming,13087,10553,13881,17608,8821,10535,8052,10861,13512,6591,5880,4968,8487,8622,3315,6408,3354,2208,18769,3451
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khan,Clid,Faker,Teddy,Effort,Huni,Lira,Damonte,Cody Sun,Vulcan,14588,13823,15094,17703,8762,13858,9642,12118,11385,8040,9758,10578,10869,14620,2323,17774,1856,9392,10310,3846
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huni,Lira,Damonte,Cody Sun,Vulcan,Langx,Karsa,xiaohu,Uzi,Ming,11510,9179,12063,11691,6293,11776,10026,11974,16603,10062,13536,6949,12370,11065,4483,8026,2396,13205,20483,6358
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khan,Clid,Faker,Teddy,Effort,Bwipo,Broxah,Nemesis,Rekkles,Hylissang,8783,7875,10517,11452,5867,12339,9155,10987,12848,7977,15605,5888,10505,7087,3558,20647,8033,13666,12104,3609
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huni,Lira,Damonte,Cody Sun,Vulcan,Bwipo,Broxah,Nemesis,Rekkles,Hylissang,24788,15794,19996,17271,18595,20338,16687,20748,24863,14104,56188,12924,21143,38487,11993,33306,17486,22606,30345,11970
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Langx,Karsa,xiaohu,Uzi,Ming,Khan,Clid,Faker,Teddy,Effort,13888,10949,13432,17142,8273,15095,10684,17115,17786,8513,10276,8998,5492,19502,7403,20708,9321,15208,19226,3539
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wunder,Jankos,Caps,Perkz,Mikyx,Sword,Tarzan,Chovy,Viper,Lehends,9779,7696,9877,10025,5935,9328,11510,12648,14853,8093,13736,6588,11659,12889,3131,9399,13036,14580,19087,5753
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wunder,Jankos,Caps,Perkz,Mikyx,Sword,Tarzan,Chovy,Viper,Lehends,8848,7486,9469,8871,5297,11526,10580,11413,13177,8591,4893,3360,8093,3415,3421,12236,11889,10396,9855,5487
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3z,Crash,Mission,Unified,Kaiwing,Licorice,Blaber,Nisqy,Deftly,Zeyzal,9143,8963,11053,12483,7631,10264,10670,12359,11843,6553,5551,4086,4464,13897,2164,4413,10270,9276,10472,3086
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Licorice,Svenskeren,Nisqy,Sneaky,Zeyzal,Wunder,Jankos,Caps,Perkz,Mikyx,10038,9904,12100,13486,6925,14799,11826,16741,15625,8118,6821,11312,15977,15504,4091,16734,9472,25487,16022,3563
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3z,Crash,Mission,Unified,Kaiwing,Sword,Tarzan,Chovy,Viper,Lehends,11878,8118,10037,10138,5528,12671,9994,14597,11575,10744,14005,3208,9049,8775,3659,21222,6339,9562,4427,19910
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wunder,Jankos,Caps,Perkz,Mikyx,3z,Crash,Mission,Unified,Kaiwing,11841,11849,14696,14183,7202,9347,9786,11516,11588,6818,9694,9961,8354,15646,5333,9815,4608,12367,9976,10988
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sword,Tarzan,Chovy,Viper,Lehends,Licorice,Svenskeren,Nisqy,Sneaky,Zeyzal,11022,9581,11205,13959,7454,6788,6296,7217,9068,5088,12076,4053,9209,16575,1899,5569,4695,4406,4060,2562
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GimGoon,Tian,Doinb,Lwx,Crisp,Vizicsacsi,Xerxe,Humanoid,Kobbe,Tore,14748,12971,20363,17455,10316,16696,10775,15247,16732,8099,14111,15017,22869,7613,3051,25020,10903,23050,14101,3002
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GimGoon,Tian,Doinb,Lwx,Crisp,Rest,Hana,FoFo,LilV,Koala,10311,11290,11587,13049,8387,7215,5682,7034,8514,4885,13151,8554,8665,12225,3076,9774,5895,7497,5222,2455
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vizicsacsi,Xerxe,Humanoid,Kobbe,Tore,Zeros,Levi,Kiaya,Zin,Slay,13377,12293,18011,15736,8668,15279,11577,12554,14794,7541,14525,11608,18044,10819,3494,12679,7803,8755,9918,2783
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vizicsacsi,Xerxe,Humanoid,Kobbe,Tore,GimGoon,Tian,Doinb,Lwx,Crisp,14847,13119,14402,15537,8938,13055,9953,11137,16604,7651,17472,12625,19140,25551,4123,19872,7765,10547,25145,3830
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeros,Levi,Kiaya,Zin,Slay,Rest,Hana,FoFo,LilV,Koala,8045,9622,11060,8180,5630,11119,7859,13691,13795,6901,13258,8393,9510,2631,3352,10540,5595,18894,7370,4201
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rest,Hana,FoFo,LilV,Koala,Vizicsacsi,Xerxe,Humanoid,Kobbe,Tore,8641,7463,10407,10927,5461,12025,9657,12908,12979,6953,5060,4160,8804,14021,2048,14574,7572,15357,12998,2505
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeros,Levi,Kiaya,Zin,Slay,GimGoon,Tian,Doinb,Lwx,Crisp,10447,9199,11179,9604,6372,12638,10914,12135,15298,8724,7482,6739,9909,11874,1542,19139,10715,11186,18465,5622
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3z,Crash,Mission,Unified,Kaiwing,Wunder,Jankos,Caps,Perkz,Mikyx,11042,9002,10242,12766,7926,12537,10712,14612,14963,7886,11146,7369,10493,7830,2589,10799,9558,16603,7003,3941
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Licorice,Blaber,Nisqy,Sneaky,Zeyzal,Sword,Tarzan,Chovy,Viper,Lehends,20029,14889,14698,18443,13028,21132,15601,16179,18508,15661,29530,22123,27976,34493,7507,30929,19187,27899,17594,40494
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vizicsacsi,Xerxe,Humanoid,Kobbe,Tore,Rest,Hana,FoFo,LilV,Koala,14402,13577,16510,20634,9754,19843,13130,19281,21935,12080,7902,15131,18236,17359,3744,17148,9583,35349,29166,3643
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GimGoon,Tian,Doinb,Lwx,Crisp,Zeros,Levi,Kiaya,Zin,Slay,9858,10925,12077,11109,6788,8633,6906,7790,6822,4755,5309,13004,13152,9953,3702,7642,5763,9312,3308,2273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huni,Lira,Damonte,Cody Sun,Vulcan,Khan,Clid,Faker,Teddy,Effort,7862,7207,7546,8985,5214,11960,9926,13847,11713,6402,9014,1891,6142,3857,3817,11675,5345,14355,5653,4188
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Langx,Karsa,xiaohu,Uzi,Ming,Bwipo,Broxah,Nemesis,Rekkles,Hylissang,15991,10981,16692,18043,8236,12337,11202,16339,12639,7835,16662,6241,20706,17563,5603,6001,6334,24988,12623,4207
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wunder,Jankos,Caps,Perkz,Mikyx,Licorice,Blaber,Nisqy,Sneaky,Zeyzal,11204,8660,10094,14868,8781,9884,8099,7009,7778,6201,16025,7234,17903,19491,7806,10251,8025,5189,5257,5323
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sword,Tarzan,Chovy,Viper,Lehends,3z,Crash,Mission,Unified,Kaiwing,17714,12382,18116,16161,9894,12348,11521,14141,15434,9180,30019,7738,43034,13017,7584,8747,5095,9914,13463,2464
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rest,Hana,FoFo,LilV,Koala,Zeros,Levi,Kiaya,Zin,Slay,16785,10669,15155,15152,8370,18879,13109,14977,16913,9927,31507,11831,23559,15066,4597,23700,10910,13174,20734,5880
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GimGoon,Tian,Doinb,Lwx,Crisp,Vizicsacsi,Xerxe,Humanoid,Kobbe,Tore,13485,12751,18534,16158,7986,13739,9729,13242,14444,8380,8230,7982,18901,13061,2457,19496,9696,10207,12875,5470
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ziv,Alex,Rainbow,Wako,Ysera,Impact,Xmithie,Jensen,Doublelift,CoreJJ,14563,14796,16722,18359,10294,18667,12684,15446,20146,10228,35090,18123,22437,21628,6649,22396,13537,14236,30860,4717
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheShy,Leyan,RooKie,JackeyLove,Baolan,Nuguri,Canyon,ShowMaker,Nuclear,BeryL,14961,12848,14668,15820,8642,16916,13176,13928,19523,11714,18364,13947,18420,24439,5499,26994,17017,12563,16681,7190
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Licorice,Svenskeren,Nisqy,Sneaky,Zeyzal,3z,Crash,Mission,Unified,Kaiwing,22544,16131,17983,19115,13323,16706,13449,19696,16418,14133,27639,22769,15508,66397,12240,27815,19001,18030,17271,53213
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sword,Tarzan,Chovy,Viper,Lehends,Wunder,Jankos,Caps,Perkz,Mikyx,10912,8499,11411,11510,6516,10544,10769,13329,17115,7934,5137,8851,8301,9019,1948,10406,8936,19480,14365,2270
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ziv,Alex,Rainbow,Wako,Ysera,Nuguri,Canyon,ShowMaker,Nuclear,BeryL,9944,8017,8212,9972,5957,11671,9501,12412,10833,7329,11163,2780,8194,4972,3316,6510,4035,9388,6981,2478
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impact,Xmithie,Jensen,Doublelift,CoreJJ,TheShy,Leyan,RooKie,JackeyLove,Baolan,11889,10235,12228,15559,8861,15007,11297,15151,15141,8633,14684,9381,8630,12944,5040,18205,8995,21030,12512,4962
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bwipo,Broxah,Nemesis,Rekkles,Hylissang,Huni,Lira,Damonte,Cody Sun,Vulcan,15476,13790,16519,15183,14005,15870,11722,14642,14429,9088,13406,11951,23473,5678,40286,22203,21173,32665,14509,12753
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khan,Clid,Faker,Teddy,Effort,Langx,Karsa,xiaohu,Uzi,Ming,17110,14600,21249,19751,10005,18134,13848,15149,23770,11758,22754,14174,17934,21413,5857,27597,9645,18691,22661,6694
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeros,Levi,Kiaya,Zin,Hieu3,Vizicsacsi,Xerxe,Humanoid,Kobbe,Tore,11817,10357,10987,10773,6709,14062,9368,12095,13915,7453,6959,6628,6957,4008,1593,13991,5119,10251,6297,3721
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rest,Hana,FoFo,LilV,Koala,GimGoon,Tian,Doinb,Lwx,Crisp,14488,12011,15749,16991,9483,13171,12097,12059,16190,7735,19061,6887,20113,28621,5263,12450,15996,12545,14735,4870
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuguri,Canyon,ShowMaker,Nuclear,BeryL,Impact,Xmithie,Jensen,Doublelift,CoreJJ,12862,9197,10979,11319,6918,11444,10238,13007,15288,7453,18455,6361,5853,6156,2530,18383,4903,17021,15626,6438
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheShy,Leyan,RooKie,JackeyLove,Baolan,Ziv,Alex,Rainbow,Wako,Ysera,13242,9355,11288,12423,6387,9622,9582,10378,11623,5864,14170,4514,21396,14994,2517,7174,3436,8242,7606,3005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Langx,Karsa,xiaohu,Uzi,Ming,Huni,Lira,Damonte,Cody Sun,Vulcan,13663,10812,12917,14737,9711,10349,9903,10754,10197,6577,10557,5579,5927,15721,4301,10104,5755,14301,7885,5906
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bwipo,Broxah,Nemesis,Rekkles,Hylissang,Khan,Clid,Faker,Teddy,Effort,14467,9886,13662,13799,11633,14307,13243,17285,16797,9919,14813,6184,17189,7495,26353,15071,10696,24456,19590,6679
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wunder,Jankos,Caps,Perkz,Mikyx,Impact,Xmithie,Jensen,Doublelift,CoreJJ,10261,9929,10787,13486,8317,7712,6642,9464,8871,5002,20977,8130,8619,13060,9016,9286,2235,15373,7715,2332
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impact,Xmithie,Jensen,Doublelift,CoreJJ,Wunder,Jankos,Caps,Perkz,Mikyx,11571,7931,10152,10217,6196,10661,11623,14796,11431,7346,13300,6819,12759,10532,2929,7903,9203,26707,11285,2974
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wunder,Jankos,Caps,Perkz,Mikyx,Impact,Xmithie,Jensen,Doublelift,CoreJJ,7286,7311,9439,8417,6226,5191,5704,5385,5267,3549,13991,4429,11166,6379,6104,4997,4266,10168,2666,1132
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khan,Clid,Faker,Teddy,Mata,Wunder,Jankos,Caps,Perkz,Mikyx,10366,9726,10118,12470,6615,8202,7197,9373,8577,6265,8081,6308,7149,21797,6421,3520,4447,6919,5960,754
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khan,Clid,Faker,Teddy,Mata,Wunder,Jankos,Caps,Perkz,Mikyx,10366,9726,10118,12470,6615,8202,7197,9373,8577,6265,8081,6308,7149,21797,6421,3520,4447,6919,5960,754
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wunder,Jankos,Caps,Perkz,Mikyx,Khan,Clid,Faker,Teddy,Mata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khan,Clid,Faker,Teddy,Mata,Wunder,Jankos,Caps,Perkz,Mikyx,15651,15229,14275,16970,9064,13789,9799,11812,13152,7081,18471,19618,13949,17418,3819,21409,3373,8325,12262,3452
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wunder,Jankos,Caps,Perkz,Mikyx,Khan,Clid,Faker,Teddy,Mata,13318,11652,15307,16361,8820,12175,11201,13396,15098,8073,10690,7820,20638,18156,5461,22155,10291,19351,22590,4013
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khan,Clid,Faker,Teddy,Mata,Wunder,Jankos,Caps,Perkz,Mikyx,9724,9923,10014,14849,7368,12729,10735,14866,15126,8248,9876,8470,10517,17158,3778,11382,8685,16741,14928,4874
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheShy,Ning,RooKie,JackeyLove,Baolan,Impact,Xmithie,Jensen,Doublelift,CoreJJ,16892,12255,15114,18760,9327,16389,12564,17821,20178,10605,28062,9152,28213,27577,6281,20061,10025,21060,33894,8209
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheShy,Ning,RooKie,JackeyLove,Baolan,Impact,Xmithie,Jensen,Doublelift,CoreJJ,13542,10326,13267,13872,7213,13663,11279,13638,14131,8386,17697,8539,23898,14705,5842,13477,8490,20512,16791,4271
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impact,Xmithie,Jensen,Doublelift,CoreJJ,TheShy,Ning,RooKie,JackeyLove,Baolan,11308,9399,12113,12879,8347,13148,11804,13887,16933,10277,14024,7407,19003,14144,7789,9789,10452,31560,23145,7093
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheShy,Ning,RooKie,JackeyLove,Baolan,Impact,Xmithie,Jensen,Doublelift,CoreJJ,13585,8801,9884,13387,6954,11869,12729,14087,17888,9686,22289,5785,16517,13546,2972,8656,6230,18134,19235,7429
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khan,Clid,Faker,Teddy,Mata,TheShy,Ning,RooKie,JackeyLove,Baolan,12094,12743,15961,14487,8261,11911,9477,10561,12171,6472,11533,6936,19079,20476,3474,10642,5216,14829,7690,6370
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanabi,Bugi,Rather,Betty,ShiauC,Zeros,Meliodas,Naul,BigKoro,Palette,14007,12649,11240,14151,6993,11749,9458,11420,11941,7044,12226,15752,12502,11192,4286,7006,7122,15080,12805,5366
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impact,Xmithie,Jensen,Doublelift,CoreJJ,Wunder,Jankos,Caps,Perkz,Mikyx,11782,12316,12234,16438,8213,10542,8832,11065,10643,6206,16358,9973,14124,17914,5454,8363,8346,18127,15158,3798
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheShy,Ning,RooKie,JackeyLove,Baolan,Hanabi,Bugi,Rather,Betty,ShiauC,13048,11666,12309,13476,7186,9992,10268,11005,12707,7685,10525,7087,9339,14892,3886,9234,5998,12644,7905,4203
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wunder,Jankos,Caps,Perkz,Mikyx,Zeros,Meliodas,Naul,BigKoro,Palette,13188,8928,11505,12818,7181,14086,11089,12811,14948,9681,11163,7890,18788,15026,6190,14969,8379,13442,20009,7133
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
